ID,@dDevdCasZpravy,ID_iot_device,Created,Creator_DB,Changed,Changer_DB,actualStateSwitch1,actualStateSwitch2,@iDevdAverageCurrent,countSetSwitch1,countSetSwitch2,currentLimit,detectRain,disableCurrentLimit,disableTemperature,numberOfCycleDown,numberOfCycleUp,numberOfImpulseDown,numberOfImpulseUp,temperature,temperatureError,unitDataFrameError,unitVersionFrameError,unitVersionMajor,unitVersionMinor
473,2021-02-16 14:34:49.000,4,16.02.2021 15:09,zachrdla,16.02.2021 15:09,zachrdla,NULL,NULL,101,NULL,NULL,1320,0,0,0,4921,4947,235,323,14.700000,0,0,0,1,4
474,2021-02-17 08:59:39.000,3,17.02.2021 9:09,zachrdla,17.02.2021 9:09,zachrdla,NULL,NULL,84,NULL,NULL,808,0,0,0,12,11,20,26,13.600000,0,0,0,1,5
475,2021-02-18 08:59:18.000,3,18.02.2021 9:09,zachrdla,18.02.2021 9:09,zachrdla,NULL,NULL,83,NULL,NULL,808,0,0,0,12,12,20,26,15.800000,0,0,0,1,5
476,2021-02-18 14:23:21.000,4,18.02.2021 15:09,zachrdla,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
477,2021-02-18 14:23:30.000,4,18.02.2021 15:09,zachrdla,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
478,2021-02-19 08:59:02.000,3,19.02.2021 9:09,zachrdla,19.02.2021 9:09,zachrdla,NULL,NULL,93,NULL,NULL,808,0,0,0,12,12,20,26,16.600000,0,0,0,1,5
479,2021-02-19 14:23:03.000,4,19.02.2021 21:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
480,2021-02-19 14:23:14.000,4,19.02.2021 21:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
481,2021-02-20 08:58:44.000,3,20.02.2021 9:59,sigfox_datafetch,20.02.2021 9:59,sigfox_datafetch,NULL,NULL,90,NULL,NULL,807,0,0,0,12,12,20,26,16.700000,0,0,0,1,5
482,2021-02-20 14:22:45.000,4,20.02.2021 21:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
483,2021-02-20 14:22:54.000,4,20.02.2021 21:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
484,2021-02-21 08:58:23.000,3,21.02.2021 9:59,sigfox_datafetch,21.02.2021 9:59,sigfox_datafetch,NULL,NULL,87,NULL,NULL,808,0,0,0,12,12,20,26,15.800000,0,0,0,1,5
587,2021-03-26 10:43:34.000,3,2021-03-26 21:59:46.077,sigfox_datafetch,2021-03-26 21:59:46.077,sigfox_datafetch,NULL,NULL,87,NULL,NULL,808,0,0,0,12,12,22,30,17.400000,0,0,0,1,5
588,2021-03-26 11:34:37.000,5,2021-03-26 21:59:46.077,sigfox_datafetch,NULL,NULL,1,1,NULL,0,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
589,2021-03-26 14:12:28.000,4,2021-03-26 21:59:46.077,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
590,2021-03-26 14:12:41.000,4,2021-03-26 21:59:46.077,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
591,2021-03-27 10:43:17.000,3,27.03.2021 21:59,sigfox_datafetch,27.03.2021 21:59,sigfox_datafetch,NULL,NULL,90,NULL,NULL,808,0,0,0,12,12,22,30,18.600000,0,0,0,1,5
592,2021-03-27 11:34:19.000,5,27.03.2021 21:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
593,2021-03-27 14:12:10.000,4,27.03.2021 21:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
594,2021-03-27 14:12:18.000,4,27.03.2021 21:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0.000000,0,1,0,0,0
595,2021-03-28 11:42:58.000,3,28.03.2021 21:59,sigfox_datafetch,28.03.2021 21:59,sigfox_datafetch,NULL,NULL,88,NULL,NULL,807,0,0,0,12,12,22,30,18.800000,0,0,0,1,5
596,2021-03-28 12:34:00.000,5,28.03.2021 21:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
