@ID,@dDevdCasZpravy,ID_iot_device,@iDevdAverageCurrent
473,34:49.0,4,101
474,59:39.0,3,84
475,59:18.0,3,83
476,23:21.0,4,0
477,23:30.0,4,0
478,59:02.0,3,93
479,23:03.0,4,0
480,23:14.0,4,0
481,58:44.0,3,90
482,22:45.0,4,0
483,22:54.0,4,0
484,58:23.0,3,87
587,43:34.0,3,87
588,34:37.0,5,NULL
589,12:28.0,4,0
590,12:41.0,4,0
591,43:17.0,3,90
592,34:19.0,5,NULL
593,12:10.0,4,0
594,12:18.0,4,0
595,42:58.0,3,88
596,34:00.0,5,NULL
597,11:51.0,4,0
598,12:00.0,4,0
599,36:49.0,3,0
600,44:05.0,3,0
601,53:58.0,3,0
602,56:58.0,3,0
603,01:19.0,3,0
604,33:42.0,5,NULL
605,11:31.0,4,105
606,33:25.0,5,NULL
607,01:15.0,3,0
608,11:12.0,4,105
609,33:06.0,5,NULL
610,00:25.0,3,90
611,46:58.0,5,NULL
612,10:56.0,4,108
613,00:09.0,3,88
614,46:40.0,5,NULL
615,10:38.0,4,105
616,59:51.0,3,89
617,46:22.0,5,NULL
618,10:17.0,4,117
619,59:30.0,3,88
620,46:06.0,5,NULL
621,09:59.0,4,125
622,59:12.0,3,83
623,45:45.0,5,NULL
624,09:40.0,4,125
625,58:56.0,3,82
626,45:27.0,5,NULL
627,09:22.0,4,123
628,58:37.0,3,90
629,45:09.0,5,NULL
630,09:03.0,4,118
631,58:17.0,3,85
632,44:50.0,5,NULL
633,08:46.0,4,101
634,58:04.0,3,83
635,44:33.0,5,NULL
636,08:27.0,4,104
637,58:10.0,3,0
638,44:14.0,5,NULL
639,08:14.0,4,100
640,57:22.0,3,89
641,43:56.0,5,NULL
642,07:52.0,4,114
643,57:04.0,3,81
644,43:37.0,5,NULL
645,07:32.0,4,126
646,56:46.0,3,84
647,43:19.0,5,NULL
648,07:14.0,4,113
649,56:30.0,3,89
650,43:01.0,5,NULL
651,06:55.0,4,97
652,56:09.0,3,78
653,42:42.0,5,NULL
654,06:36.0,4,100
655,55:51.0,3,82
656,42:25.0,5,NULL
657,06:18.0,4,105
658,55:33.0,3,89
659,42:06.0,5,NULL
660,06:00.0,4,101
661,55:15.0,3,87
662,41:48.0,5,NULL
663,05:44.0,4,115
664,54:56.0,3,89
665,41:29.0,5,NULL
666,05:23.0,4,118
667,54:39.0,3,89
668,41:11.0,5,NULL
669,05:05.0,4,115
670,54:20.0,3,92
671,40:52.0,5,NULL
672,04:52.0,4,103
673,54:01.0,3,83
674,40:34.0,5,NULL
675,04:28.0,4,105
676,53:43.0,3,88
677,40:16.0,5,NULL
678,04:10.0,4,101
679,23:32.0,3,0
680,39:57.0,5,NULL
681,03:53.0,4,107
682,39:39.0,5,NULL
683,03:33.0,4,112
684,39:21.0,5,NULL
685,03:14.0,4,122
686,39:03.0,5,NULL
687,03:01.0,4,115
688,38:44.0,5,NULL
689,02:19.0,4,104
690,34:21.0,3,0
691,37:13.0,3,0
692,46:00.0,3,0
693,38:26.0,5,NULL
694,02:00.0,4,110
695,38:08.0,5,NULL
696,01:42.0,4,102
697,37:49.0,5,NULL
698,01:23.0,4,120
699,37:31.0,5,NULL
700,01:05.0,4,121
701,37:13.0,5,NULL
702,00:49.0,4,115
703,36:54.0,5,NULL
704,00:28.0,4,101
705,36:36.0,5,NULL
706,00:39.0,4,0
707,36:18.0,5,NULL
708,59:51.0,4,113
709,35:59.0,5,NULL
710,35:42.0,5,NULL
711,59:33.0,4,106
712,35:23.0,5,NULL
713,59:19.0,4,107
714,35:04.0,5,NULL
715,58:56.0,4,121
716,34:46.0,5,NULL
717,58:37.0,4,115
718,34:28.0,5,NULL
719,58:24.0,4,105
720,34:10.0,5,NULL
721,58:00.0,4,109
722,33:52.0,5,NULL
723,57:42.0,4,104
724,33:33.0,5,NULL
725,57:23.0,4,110
726,33:14.0,5,NULL
727,57:05.0,4,0
728,32:56.0,5,NULL
729,56:46.0,4,0
730,32:38.0,5,NULL
731,56:28.0,4,98
732,32:20.0,5,NULL
733,56:10.0,4,99
734,32:01.0,5,NULL
735,55:51.0,4,105
736,31:43.0,5,NULL
737,55:33.0,4,111
738,31:25.0,5,NULL
739,55:17.0,4,105
740,31:07.0,5,NULL
741,54:56.0,4,0
742,30:48.0,5,NULL
743,54:37.0,4,0
744,30:30.0,5,NULL
745,54:18.0,4,100
746,30:11.0,5,NULL
747,54:00.0,4,104
748,18:55.0,4,0
749,29:53.0,5,NULL
750,18:37.0,4,103
751,29:35.0,5,NULL
752,18:19.0,4,105
753,29:17.0,5,NULL
754,18:00.0,4,103
755,28:59.0,5,NULL
756,17:42.0,4,0
757,28:40.0,5,NULL
758,17:23.0,4,0
759,28:25.0,5,NULL
760,17:05.0,4,102
761,28:03.0,5,NULL
762,16:46.0,4,100
763,27:46.0,5,NULL
764,16:30.0,4,101
765,27:29.0,5,NULL
766,16:09.0,4,98
767,27:09.0,5,NULL
768,15:50.0,4,101
769,26:51.0,5,NULL
770,15:35.0,4,0
771,26:32.0,5,NULL
772,15:13.0,4,0
773,26:14.0,5,NULL
774,14:57.0,4,100
775,25:56.0,5,NULL
776,14:36.0,4,103
777,25:37.0,5,NULL
778,14:18.0,4,110
779,25:19.0,5,NULL
780,14:00.0,4,108
781,25:01.0,5,NULL
782,13:42.0,4,108
783,24:43.0,5,NULL
784,13:23.0,4,130
785,24:24.0,5,NULL
786,13:04.0,4,132
787,24:08.0,5,NULL
788,12:49.0,4,110
789,23:47.0,5,NULL
790,12:33.0,4,107
791,23:29.0,5,NULL
792,12:09.0,4,107
793,23:11.0,5,NULL
794,11:35.0,4,111
795,22:52.0,5,NULL
796,11:14.0,4,130
797,22:34.0,5,NULL
798,10:58.0,4,133
799,22:16.0,5,NULL
800,21:58.0,5,NULL
801,10:37.0,4,112
802,21:40.0,5,NULL
803,10:19.0,4,105
804,21:21.0,5,NULL
805,10:00.0,4,109
806,21:03.0,5,NULL
807,09:42.0,4,109
808,20:45.0,5,NULL
809,09:27.0,4,108
810,20:26.0,5,NULL
811,09:08.0,4,123
812,20:09.0,5,NULL
813,08:50.0,4,130
814,19:50.0,5,NULL
815,08:28.0,4,104
816,19:31.0,5,NULL
817,08:11.0,4,105
818,19:14.0,5,NULL
819,07:52.0,4,106
820,18:55.0,5,NULL
821,07:33.0,4,107
822,18:37.0,5,NULL
823,07:15.0,4,109
824,18:18.0,5,NULL
825,06:56.0,4,125
826,18:00.0,5,NULL
827,06:41.0,4,126
828,17:42.0,5,NULL
829,06:20.0,4,126
830,17:23.0,5,NULL
831,06:01.0,4,130
832,17:06.0,5,NULL
833,05:43.0,4,130
